Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,1106,180,1575,248.94,0.000%,7.61963,2278.97,0.86,306269.6
TOTAL,50,1106,180,1575,248.94,0.000%,7.61963,2278.97,0.86,306269.6
