Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,167,110,1104,103.75,0.000%,3.37245,1030.72,0.39,312964.9
TOTAL,100,167,110,1104,103.75,0.000%,3.37245,1030.72,0.39,312964.9
